schemaObjectKey,schemaObjectType,schemaObjectFormat,schemaObjectNullable,schemaObjectPropertyNames,schemaObjectPropertyCount,schemaObjectPropertyRefCount,schemaObjectPropertyInlineCount,compschemaRequired,compschemaEnum,compsMaybeBool,compschemaAllOf,compschemaAnyOf,compschemaOneOf,compschemaDeprecated,compschemaExclusiveMaximum,compschemaExclusiveMinimum,compschemaReadOnly,compschemaUniqueItems,compschemaWriteOnly,compschemaMaxItems,compschemaMaxLength,compschemaMaxProperties,compschemaMinItems,compschemaMinLength,compschemaMinProperties,compschemaPattern,compschemaDescription,compschemaTitle,compschemaDefault,compschemaExample,compschemaNot,compschemaAdditionalProperties,compschemaDiscriminator,compschemaExternalDocs,compschemaItems,compschemaXml,compschemaMaximum,compschemaMinimum,compschemaMultipleOf
"""Invoice_QuickUpload_UpdateTags_Model""",OpenApiObject,"""""",0,"[""tag_ids"",""id""]",2,0,2,[],[],0,[],[],[],0,0,0,0,0,0,0,0,0,0,0,0,"""""","""""","""""",Null,Null,,,,,,,,,
"""ClientPlan_QueryOrderByType""",OpenApiInteger,"""int32""",0,[],0,0,0,[],"[""0"",""1"",""2""]",0,[],[],[],0,0,0,0,0,0,0,0,0,0,0,0,"""""","""""","""""",Null,Null,,,,,,,,,
"""ClientPlanSupportItemLimitType""",OpenApiInteger,"""int32""",0,[],0,0,0,[],"[""0"",""1""]",1,[],[],[],0,0,0,0,0,0,0,0,0,0,0,0,"""""","""""","""""",Null,Null,,,,,,,,,
"""EmailBulkMoveEmailModel""",OpenApiObject,"""""",0,"[""connectorId"",""emailIdList"",""connectorIdNow""]",3,0,3,[],[],0,[],[],[],0,0,0,0,0,0,0,0,0,0,0,0,"""""","""""","""""",Null,Null,,,,,,,,,
"""AdminFee_AddModel""",OpenApiObject,"""""",0,"[""support_item_id"",""support_end_date"",""support_start_date"",""unit_price"",""client_plan_id"",""quantity"",""clientId""]",7,0,7,[],[],0,[],[],[],0,0,0,0,0,0,0,0,0,0,0,0,"""""","""""","""""",Null,Null,,,,,,,,,
"""Invoice_UpdateBeforeSubmit_Item""",OpenApiObject,"""""",0,"[""support_end_date"",""invoice_item_id"",""support_start_date""]",3,0,3,[],[],0,[],[],[],0,0,0,0,0,0,0,0,0,0,0,0,"""""","""""","""""",Null,Null,,,,,,,,,
"""VendorABNCheckModel""",OpenApiObject,"""""",0,"[""accountNo"",""vendorName"",""phone"",""emailForReminttance"",""vendorId"",""bsb"",""ocrTemplate"",""authorisedLoginHolderEmail"",""addressSuburb"",""abn"",""accountName"",""addressNumber"",""transferReference"",""dateLastChecked"",""emailContact"",""authorisedLoginHolderPosition"",""authorisedLoginHolderMobileNumber"",""authorisedLoginHolderName"",""paymentMethod"",""addressState"",""addressPostCode"",""notes""]",22,0,22,[],[],0,[],[],[],0,0,0,0,0,0,0,0,0,0,0,0,"""""","""""","""""",Null,Null,,,,,,,,,
"""HolidayListModel""",OpenApiObject,"""""",0,"[""start_time"",""date"",""to_time"",""from_time"",""id"",""state_id"",""description"",""phone_number"",""state_name"",""end_time"",""holiday_name""]",11,2,9,[],[],0,[],[],[],0,0,0,0,0,0,0,0,0,0,0,0,"""""","""""","""""",Null,Null,,,,,,,,,
"""SupportCoordinatorJoinClient_Update_Model""",OpenApiObject,"""""",0,"[""client_id"",""otherrelationship"",""isInvoiceAuthorisor"",""plan_ending_reminder_90_days"",""authorised_date"",""isLinkParticipant"",""standing_authority_ending_reminder_7_day"",""plan_ending_reminder_60_days"",""invoice_authorisation_request"",""plan_ending_reminder_30_days"",""standing_authority_applied"",""id"",""new_standing_authority_created"",""relationship_id"",""monthly_statement"",""support_coordinator_id"",""invoice_has_been_processed""]",17,0,17,[],[],0,[],[],[],0,0,0,0,0,0,0,0,0,0,0,0,"""""","""""","""""",Null,Null,,,,,,,,,
"""ClientApplicationContact_Add_Model""",OpenApiObject,"""""",0,"[""contact_number"",""other_relationship"",""invoice_authorisor"",""email"",""last_name"",""first_name"",""relationship_id"",""application_id"",""notes"",""title_id""]",10,0,10,[],[],0,[],[],[],0,0,0,0,0,0,0,0,0,0,0,0,"""""","""""","""""",Null,Null,,,,,,,,,
"""PermissionActionType""",OpenApiInteger,"""int32""",0,[],0,0,0,[],"[""0"",""1"",""100"",""201"",""202"",""203"",""204"",""205"",""206"",""207"",""301"",""302"",""303"",""401"",""402"",""403"",""501"",""502"",""601"",""602"",""603"",""604"",""605"",""606"",""607"",""609"",""610"",""611"",""612"",""613"",""614"",""615"",""616"",""617"",""618"",""619"",""620"",""621"",""622"",""623"",""624"",""625"",""627"",""628"",""701"",""702"",""801"",""802"",""803"",""804"",""805"",""806"",""807"",""901"",""903"",""904"",""905"",""1000"",""1001"",""1002"",""1003"",""1004"",""1008"",""1009"",""1010"",""1011"",""1012"",""1020"",""1022"",""1023"",""2001"",""2002"",""2003"",""3001"",""3002"",""3003"",""3004"",""3005"",""3006"",""3007"",""3008"",""9001"",""9002"",""9003"",""9004"",""9005"",""9006"",""9007"",""9008"",""9009"",""9010"",""9011"",""9012"",""9013"",""9014"",""9015"",""9016"",""9017"",""12345"",""12346"",""12347"",""12348"",""12349"",""13000"",""13001"",""13002"",""20000"",""20001"",""20002"",""21000"",""21001"",""21002"",""21003"",""21004"",""21005"",""21006"",""21007"",""21008"",""21009"",""21010"",""21011"",""21012"",""21013"",""21014"",""21015"",""21016"",""21017"",""21018"",""99999""]",0,[],[],[],0,0,0,0,0,0,0,0,0,0,0,0,"""""","""""","""""",Null,Null,,,,,,,,,
"""UntoVendorDTO""",OpenApiObject,"""""",0,"[""vendorId"",""tagIds""]",2,0,2,[],[],0,[],[],[],0,0,0,0,0,0,0,0,0,0,0,0,"""""","""""","""""",Null,Null,,,,,,,,,
"""AuthenticateUser""",OpenApiObject,"""""",0,"[""agent_For_User_Display_Name"",""sc_Agent_For_User_Display_Name"",""agent_For_User_Username"",""email"",""sc_Agent_For_User_Role"",""agent_For_User_Id"",""id"",""displayName"",""userName"",""sc_Agent_For_User_Username"",""sc_Agent_For_User_Id"",""agent_For_User_Role"",""role""]",13,3,10,[],[],0,[],[],[],0,0,0,0,0,0,0,0,0,0,0,0,"""""","""""","""""",Null,Null,,,,,,,,,
"""PaymentBatch_Create_Model""",OpenApiObject,"""""",0,"[""invoice_item_ids""]",1,0,1,[],[],0,[],[],[],0,0,0,0,0,0,0,0,0,0,0,0,"""""","""""","""""",Null,Null,,,,,,,,,
"""InvoiceStatusType""",OpenApiInteger,"""int32""",0,[],0,0,0,[],"[""0"",""100"",""200"",""300"",""-50""]",0,[],[],[],0,0,0,0,0,0,0,0,0,0,0,0,"""""","""""","""""",Null,Null,,,,,,,,,
"""ClientBudgetType""",OpenApiInteger,"""int32""",0,[],0,0,0,[],"[""0"",""1""]",1,[],[],[],0,0,0,0,0,0,0,0,0,0,0,0,"""""","""""","""""",Null,Null,,,,,,,,,
"""ChangeTagToInvoiceDTO""",OpenApiObject,"""""",0,"[""invoiceList""]",1,0,1,[],[],0,[],[],[],0,0,0,0,0,0,0,0,0,0,0,0,"""""","""""","""""",Null,Null,,,,,,,,,
"""CRMNoteHistory_Add_Model""",OpenApiObject,"""""",0,"[""note_appendedcontent"",""staff_id"",""note_updatedcontent"",""note_id""]",4,0,4,[],[],0,[],[],[],0,0,0,0,0,0,0,0,0,0,0,0,"""""","""""","""""",Null,Null,,,,,,,,,
"""Invoice_Add_Model""",OpenApiObject,"""""",0,"[""invoice_date"",""client_id"",""abn_is_active"",""real_email_address"",""invoice_total"",""authorisation_Status"",""vendor_id"",""crm_notes"",""received_From_Email"",""invoice_number"",""abn_not_available"",""vendor_type"",""abn_on_receipt"",""abn_not_available_reason"",""creation_method"",""invoice_date_converted"",""notes""]",17,4,13,[],[],0,[],[],[],0,0,0,0,0,0,0,0,0,0,0,0,"""""","""""","""""",Null,Null,,,,,,,,,
"""CRMNote_Update_Model""",OpenApiObject,"""""",0,"[""note_content"",""status"",""id"",""staff_id"",""note_title"",""isreminder""]",6,1,5,[],[],0,[],[],[],0,0,0,0,0,0,0,0,0,0,0,0,"""""","""""","""""",Null,Null,,,,,,,,,
"""VendorDomainAddModel""",OpenApiObject,"""""",0,"[""domain_name"",""description""]",2,0,2,[],[],0,[],[],[],0,0,0,0,0,0,0,0,0,0,0,0,"""""","""""","""""",Null,Null,,,,,,,,,
"""Client_User_Update_Account_Password_Model""",OpenApiObject,"""""",0,"[""client_id"",""old_password"",""password""]",3,0,3,[],[],0,[],[],[],0,0,0,0,0,0,0,0,0,0,0,0,"""""","""""","""""",Null,Null,,,,,,,,,
"""ClientPlanSupportLimitation_Update_GroupItem""",OpenApiObject,"""""",0,"[""ndis_support_item_id""]",1,0,1,[],[],0,[],[],[],0,0,0,0,0,0,0,0,0,0,0,0,"""""","""""","""""",Null,Null,,,,,,,,,
"""ReportMethodType""",OpenApiInteger,"""int32""",0,[],0,0,0,[],"[""0"",""1"",""2""]",0,[],[],[],0,0,0,0,0,0,0,0,0,0,0,0,"""""","""""","""""",Null,Null,,,,,,,,,
"""Email_Remove_OneTag""",OpenApiObject,"""""",0,"[""logMsg"",""is_System"",""emailId"",""remove_Tag""]",4,1,3,[],[],0,[],[],[],0,0,0,0,0,0,0,0,0,0,0,0,"""""","""""","""""",Null,Null,,,,,,,,,
"""ChangeTagToClientDTO""",OpenApiObject,"""""",0,"[""clientList""]",1,0,1,[],[],0,[],[],[],0,0,0,0,0,0,0,0,0,0,0,0,"""""","""""","""""",Null,Null,,,,,,,,,
"""Invoice_variance""",OpenApiInteger,"""int32""",0,[],0,0,0,[],"[""0"",""1"",""2"",""3""]",0,[],[],[],0,0,0,0,0,0,0,0,0,0,0,0,"""""","""""","""""",Null,Null,,,,,,,,,
"""Update_Auto_Reply_Email_Setting_Model""",OpenApiObject,"""""",0,"[""auto_reply_type"",""email"",""id""]",3,1,2,[],[],0,[],[],[],0,0,0,0,0,0,0,0,0,0,0,0,"""""","""""","""""",Null,Null,,,,,,,,,
"""Vendor_InvoiceItem_Add_Model""",OpenApiObject,"""""",0,"[""support_end_date"",""support_start_date"",""ndis_support_item_id"",""unit_price"",""gst"",""invoice_id"",""quantity""]",7,0,7,[],[],0,[],[],[],0,0,0,0,0,0,0,0,0,0,0,0,"""""","""""","""""",Null,Null,,,,,,,,,
"""AddTeam""",OpenApiObject,"""""",0,"[""staff_ids"",""teamName""]",2,0,2,[],[],0,[],[],[],0,0,0,0,0,0,0,0,0,0,0,0,"""""","""""","""""",Null,Null,,,,,,,,,
"""ClientPlanSupportArea_Merge_Model""",OpenApiObject,"""""",0,"[""budget_type"",""client_plan_id"",""id"",""management_type"",""ndis_support_area_id""]",5,2,3,[],[],0,[],[],[],0,0,0,0,0,0,0,0,0,0,0,0,"""""","""""","""""",Null,Null,,,,,,,,,
"""Add_Auto_Reply_Email_Setting_Model""",OpenApiObject,"""""",0,"[""auto_reply_type"",""email"",""auto_reply_count"",""id""]",4,1,3,[],[],0,[],[],[],0,0,0,0,0,0,0,0,0,0,0,0,"""""","""""","""""",Null,Null,,,,,,,,,
"""ChangeTagToVendorDTO""",OpenApiObject,"""""",0,"[""vendorList""]",1,0,1,[],[],0,[],[],[],0,0,0,0,0,0,0,0,0,0,0,0,"""""","""""","""""",Null,Null,,,,,,,,,
"""UpdateStaffConnectorsModel""",OpenApiObject,"""""",0,"[""selected_Ids""]",1,0,1,[],[],0,[],[],[],0,0,0,0,0,0,0,0,0,0,0,0,"""""","""""","""""",Null,Null,,,,,,,,,
"""SplitItemFromGroupDto""",OpenApiObject,"""""",0,"[""is_system"",""client_plan_id"",""item_id"",""group_id"",""limit_type""]",5,1,4,[],[],0,[],[],[],0,0,0,0,0,0,0,0,0,0,0,0,"""""","""""","""""",Null,Null,,,,,,,,,
"""NDIS_Fund_Item""",OpenApiObject,"""""",0,"[""claim_date"",""id"",""claim_amount""]",3,0,3,[],[],0,[],[],[],0,0,0,0,0,0,0,0,0,0,0,0,"""""","""""","""""",Null,Null,,,,,,,,,
"""FundSourceType""",OpenApiInteger,"""int32""",0,[],0,0,0,[],"[""0"",""1""]",1,[],[],[],0,0,0,0,0,0,0,0,0,0,0,0,"""""","""""","""""",Null,Null,,,,,,,,,
"""GroupType""",OpenApiInteger,"""int32""",0,[],0,0,0,[],"[""0"",""1""]",1,[],[],[],0,0,0,0,0,0,0,0,0,0,0,0,"""""","""""","""""",Null,Null,,,,,,,,,
"""ClientPlanSupportLimitation_Update_Item""",OpenApiObject,"""""",0,"[""spend_limit"",""is_system"",""client_plan_id"",""id"",""limit_type""]",5,1,4,[],[],0,[],[],[],0,0,0,0,0,0,0,0,0,0,0,0,"""""","""""","""""",Null,Null,,,,,,,,,
"""TryToUnMatchDTO""",OpenApiObject,"""""",0,"[""match_group_id""]",1,0,1,[],[],0,[],[],[],0,0,0,0,0,0,0,0,0,0,0,0,"""""","""""","""""",Null,Null,,,,,,,,,
"""EmailSourceType""",OpenApiInteger,"""int32""",0,[],0,0,0,[],"[""0"",""1"",""2"",""3""]",0,[],[],[],0,0,0,0,0,0,0,0,0,0,0,0,"""""","""""","""""",Null,Null,,,,,,,,,
"""CRMInvoiceNote_Add_Model""",OpenApiObject,"""""",0,"[""client_id"",""todoList"",""reminder_staff"",""provider_id"",""content"",""reminder_date"",""append"",""id"",""invoice_id"",""is_link_to_client"",""is_link_to_provider"",""is_link_to_sc"",""sc_id"",""isreminder"",""note_id"",""subject""]",16,0,16,[],[],0,[],[],[],0,0,0,0,0,0,0,0,0,0,0,0,"""""","""""","""""",Null,Null,,,,,,,,,
"""Invoice_Quick_Upload_Notes_Model""",OpenApiObject,"""""",0,"[""id"",""notes""]",2,0,2,[],[],0,[],[],[],0,0,0,0,0,0,0,0,0,0,0,0,"""""","""""","""""",Null,Null,,,,,,,,,
"""NDISSupportItemPriceControlType""",OpenApiInteger,"""int32""",0,[],0,0,0,[],"[""0"",""1"",""2""]",0,[],[],[],0,0,0,0,0,0,0,0,0,0,0,0,"""""","""""","""""",Null,Null,,,,,,,,,
"""CommEmailTemplateType""",OpenApiInteger,"""int32""",0,[],0,0,0,[],"[""0"",""1"",""2"",""3"",""4""]",0,[],[],[],0,0,0,0,0,0,0,0,0,0,0,0,"""""","""""","""""",Null,Null,,,,,,,,,
"""Cancel_Claim_Model""",OpenApiObject,"""""",0,"[""prn""]",1,0,1,[],[],0,[],[],[],0,0,0,0,0,0,0,0,0,0,0,0,"""""","""""","""""",Null,Null,,,,,,,,,
"""CRMNote_Todo_Model""",OpenApiObject,"""""",0,"[""title"",""status"",""id""]",3,1,2,[],[],0,[],[],[],0,0,0,0,0,0,0,0,0,0,0,0,"""""","""""","""""",Null,Null,,,,,,,,,
"""ChangeClientDTO""",OpenApiObject,"""""",0,"[""tagIds"",""client""]",2,0,2,[],[],0,[],[],[],0,0,0,0,0,0,0,0,0,0,0,0,"""""","""""","""""",Null,Null,,,,,,,,,
"""AdminFeeItem_SingleUpdateModel""",OpenApiObject,"""""",0,"[""support_item_id"",""support_end_date"",""invoiceItemId"",""support_start_date"",""unit_price"",""quantity"",""invoice_Type"",""clientId""]",8,1,7,[],[],0,[],[],[],0,0,0,0,0,0,0,0,0,0,0,0,"""""","""""","""""",Null,Null,,,,,,,,,
"""Vendor_Generate_Statement_Model""",OpenApiObject,"""""",0,"[""start_date"",""vendor_id"",""end_date""]",3,0,3,[],[],0,[],[],[],0,0,0,0,0,0,0,0,0,0,0,0,"""""","""""","""""",Null,Null,,,,,,,,,
"""AIOCRStatus""",OpenApiInteger,"""int32""",0,[],0,0,0,[],"[""0"",""1"",""-1""]",0,[],[],[],0,0,0,0,0,0,0,0,0,0,0,0,"""""","""""","""""",Null,Null,,,,,,,,,
"""CRMNote_Add_Model""",OpenApiObject,"""""",0,"[""note_content"",""status"",""staff_id"",""note_title"",""isreminder""]",5,1,4,[],[],0,[],[],[],0,0,0,0,0,0,0,0,0,0,0,0,"""""","""""","""""",Null,Null,,,,,,,,,
"""Update_Client_Password_Model""",OpenApiObject,"""""",0,"[""old_password"",""password""]",2,0,2,[],[],0,[],[],[],0,0,0,0,0,0,0,0,0,0,0,0,"""""","""""","""""",Null,Null,,,,,,,,,
"""InvoiceClaimStatusType""",OpenApiInteger,"""int32""",0,[],0,0,0,[],"[""0"",""100"",""200"",""300"",""400"",""500"",""-100"",""-50""]",0,[],[],[],0,0,0,0,0,0,0,0,0,0,0,0,"""""","""""","""""",Null,Null,,,,,,,,,
"""TagUpdateItem""",OpenApiObject,"""""",0,"[""emailIds"",""tagName"",""tagId""]",3,0,3,[],[],0,[],[],[],0,0,0,0,0,0,0,0,0,0,0,0,"""""","""""","""""",Null,Null,,,,,,,,,
"""UpdateFundFileRecordModel""",OpenApiObject,"""""",0,"[""ndis_no"",""id""]",2,0,2,[],[],0,[],[],[],0,0,0,0,0,0,0,0,0,0,0,0,"""""","""""","""""",Null,Null,,,,,,,,,
"""Email_Update_Type""",OpenApiObject,"""""",0,"[""logMsg"",""is_System"",""emailType"",""typeName"",""emailId""]",5,0,5,[],[],0,[],[],[],0,0,0,0,0,0,0,0,0,0,0,0,"""""","""""","""""",Null,Null,,,,,,,,,
"""Update_Support_Coordiantor_Profile_Model""",OpenApiObject,"""""",0,"[""contact_number"",""last_name"",""id"",""first_name"",""title_id""]",5,0,5,[],[],0,[],[],[],0,0,0,0,0,0,0,0,0,0,0,0,"""""","""""","""""",Null,Null,,,,,,,,,
"""Process_Split_Item_Model""",OpenApiObject,"""""",0,"[""account_from_bank"",""payment_summary_split_id""]",2,0,2,[],[],0,[],[],[],0,0,0,0,0,0,0,0,0,0,0,0,"""""","""""","""""",Null,Null,,,,,,,,,
"""Client_Standing_Authority_Update_Model""",OpenApiObject,"""""",0,"[""client_id"",""request_by_date"",""request_by"",""id"",""is_enabled"",""request_type"",""valid_months"",""is_limit"",""limit_amount"",""request_by_time"",""notes""]",11,1,10,[],[],0,[],[],[],0,0,0,0,0,0,0,0,0,0,0,0,"""""","""""","""""",Null,Null,,,,,,,,,
"""Client_User_Create_Account_Model""",OpenApiObject,"""""",0,"[""client_id"",""status"",""username"",""password""]",4,1,3,[],[],0,[],[],[],0,0,0,0,0,0,0,0,0,0,0,0,"""""","""""","""""",Null,Null,,,,,,,,,
