sp_Object,sp_Property,sp_Reference,sp_Type,sp_Format,sp_Nullable,sp_Reqd,sp_Enum,sp_Props
"""SystemSupportLimitation_Add_Group""","""limit_type""","""ClientPlanSupportItemLimitType""",Null,"""""",0,[],[],fromList []
"""ResendStaffCodeModel""","""staffId""","""""",String,"""uuid""",0,[],[],fromList []
"""ClientStatementPreference_UpdateModel""","""client_id""","""""",String,"""uuid""",0,[],[],fromList []
"""ClientStatementPreference_UpdateModel""","""funding_balance""","""""",Boolean,"""""",0,[],[],fromList []
"""ClientStatementPreference_UpdateModel""","""payment_activity""","""""",Boolean,"""""",0,[],[],fromList []
"""ClientStatementPreference_UpdateModel""","""invoice_in_queue""","""""",Boolean,"""""",0,[],[],fromList []
"""ClientStatementPreference_UpdateModel""","""payment_activity_details""","""""",Boolean,"""""",0,[],[],fromList []
"""BulkPhone_VoiceMail_UpdateStatus""","""status""","""PhoneCallHistoryActionStatus""",Null,"""""",0,[],[],fromList []
"""BulkPhone_VoiceMail_UpdateStatus""","""ids""","""""",Array,"""""",1,[],[],fromList []
"""Phone_VoiceMail_AppendNoteAndTag""","""status""","""PhoneCallHistoryActionStatus""",Null,"""""",0,[],[],fromList []
"""Phone_VoiceMail_AppendNoteAndTag""","""id""","""""",String,"""uuid""",0,[],[],fromList []
"""Phone_VoiceMail_AppendNoteAndTag""","""tagIds""","""""",String,"""""",1,[],[],fromList []
"""Phone_VoiceMail_AppendNoteAndTag""","""note""","""""",String,"""""",1,[],[],fromList []
"""Import_Other_Provider_Clients_Model""","""file_path""","""""",String,"""""",1,[],[],fromList []
"""Import_Other_Provider_Clients_Model""","""provider""","""ProviderNameType""",Null,"""""",0,[],[],fromList []
"""Reconciliation_Update_Model""","""reconciliation_date""","""""",String,"""date-time""",0,[],[],fromList []
"""Reconciliation_Update_Model""","""bankBalance""","""""",Number,"""double""",1,[],[],fromList []
"""Reconciliation_Update_Model""","""start_date""","""""",String,"""date-time""",0,[],[],fromList []
"""Reconciliation_Update_Model""","""cancelled_invoiceitems""","""""",Array,"""""",1,[],[],fromList []
"""Reconciliation_Update_Model""","""other_funds""","""""",Array,"""""",1,[],[],fromList []
"""Reconciliation_Update_Model""","""id""","""""",String,"""uuid""",0,[],[],fromList []
"""Reconciliation_Update_Model""","""gatewayBalance""","""""",Number,"""double""",1,[],[],fromList []
"""Reconciliation_Update_Model""","""miscAdjustment_Items""","""""",Array,"""""",1,[],[],fromList []
"""Reconciliation_Update_Model""","""claim_ids""","""""",Array,"""""",1,[],[],fromList []
"""Reconciliation_Update_Model""","""is_closed""","""""",Boolean,"""""",0,[],[],fromList []
"""Reconciliation_Update_Model""","""gatewayBalanceNoRefund""","""""",Number,"""double""",1,[],[],fromList []
"""Reconciliation_Update_Model""","""ndis_funds""","""""",Array,"""""",1,[],[],fromList []
"""Reconciliation_Update_Model""","""payment_batch_ids""","""""",Array,"""""",1,[],[],fromList []
"""Reconciliation_Update_Model""","""notes""","""""",String,"""""",1,[],[],fromList []
"""Reconciliation_Update_Model""","""end_date""","""""",String,"""date-time""",0,[],[],fromList []
"""ReconciliationClaim_ListParameter""","""reconciliation_date""","""""",String,"""date-time""",0,[],[],fromList []
"""ReconciliationClaim_ListParameter""","""start_date""","""""",String,"""date-time""",0,[],[],fromList []
"""ReconciliationClaim_ListParameter""","""months_cover""","""""",Integer,"""int32""",1,[],[],fromList []
"""ReconciliationClaim_ListParameter""","""claim_ids""","""""",Array,"""""",1,[],[],fromList []
"""ReconciliationClaim_ListParameter""","""end_date""","""""",String,"""date-time""",0,[],[],fromList []
"""ClientApplicationSupportArea_Update_Model""","""amount""","""""",Number,"""double""",0,[],[],fromList []
"""ClientApplicationSupportArea_Update_Model""","""application_id""","""""",String,"""uuid""",0,[],[],fromList []
"""ClientApplicationSupportArea_Update_Model""","""management_type""","""ClientPlanManagementType""",Null,"""""",0,[],[],fromList []
"""ClientApplicationSupportArea_Update_Model""","""ndis_support_area_id""","""""",String,"""uuid""",0,[],[],fromList []
"""MailGuardQueryModel""","""maxPerDay""","""""",Integer,"""int32""",0,[],[],fromList []
"""MailGuardQueryModel""","""status""","""""",Boolean,"""""",0,[],[],fromList []
"""MailGuardQueryModel""","""account""","""""",String,"""""",1,[],[],fromList []
"""MailGuardQueryModel""","""port""","""""",String,"""""",1,[],[],fromList []
"""MailGuardQueryModel""","""password""","""""",String,"""""",1,[],[],fromList []
"""MailGuardQueryModel""","""serverAddress""","""""",String,"""""",1,[],[],fromList []
"""AddHighRiskSupportItemModel""","""ndiS_Support_Item_Id""","""""",String,"""uuid""",0,[],[],fromList []
"""AddHighRiskSupportItemModel""","""warning""","""""",String,"""""",0,[],[],fromList []
"""PreferenceClientEmail_Add_Model""","""plan_ending_reminder_90_days""","""""",Boolean,"""""",0,[],[],fromList []
"""PreferenceClientEmail_Add_Model""","""standing_authority_ending_reminder_7_day""","""""",Boolean,"""""",0,[],[],fromList []
"""PreferenceClientEmail_Add_Model""","""plan_ending_reminder_60_days""","""""",Boolean,"""""",0,[],[],fromList []
"""PreferenceClientEmail_Add_Model""","""invoice_authorisation_request""","""""",Boolean,"""""",0,[],[],fromList []
"""PreferenceClientEmail_Add_Model""","""plan_ending_reminder_30_days""","""""",Boolean,"""""",0,[],[],fromList []
"""PreferenceClientEmail_Add_Model""","""standing_authority_applied""","""""",Boolean,"""""",0,[],[],fromList []
"""PreferenceClientEmail_Add_Model""","""new_standing_authority_created""","""""",Boolean,"""""",0,[],[],fromList []
"""PreferenceClientEmail_Add_Model""","""invoice_has_been_processed""","""""",Boolean,"""""",0,[],[],fromList []
"""Tag_Add_Model""","""linkVoiceMail""","""""",Boolean,"""""",0,[],[],fromList []
"""Tag_Add_Model""","""description""","""""",String,"""""",1,[],[],fromList []
"""Tag_Add_Model""","""tag_Name""","""""",String,"""""",1,[],[],fromList []
"""Tag_Add_Model""","""is_Active""","""""",Boolean,"""""",0,[],[],fromList []
"""Tag_Add_Model""","""emailConnectorIds""","""""",Array,"""""",1,[],[],fromList []
"""Tag_Add_Model""","""staffId""","""""",String,"""uuid""",1,[],[],fromList []
"""Tag_Add_Model""","""color""","""""",String,"""""",1,[],[],fromList []
"""AddSuspenseItemModel""","""amount""","""""",Number,"""double""",0,[],[],fromList []
"""AddSuspenseItemModel""","""date""","""""",String,"""date-time""",0,[],[],fromList []
"""AddSuspenseItemModel""","""reconciliationId""","""""",String,"""uuid""",0,[],[],fromList []
"""AddSuspenseItemModel""","""description""","""""",String,"""""",1,[],[],fromList []
"""AddSuspenseItemModel""","""type""","""SuspenseItemType""",Null,"""""",0,[],[],fromList []
"""Claim_Create_Model""","""invoice_item_ids""","""""",Array,"""""",1,[],[],fromList []
"""Invoice_QuickUpload_UpdateTags_Model""","""tag_ids""","""""",Array,"""""",1,[],[],fromList []
"""Invoice_QuickUpload_UpdateTags_Model""","""id""","""""",String,"""uuid""",0,[],[],fromList []
"""EmailBulkMoveEmailModel""","""connectorId""","""""",String,"""uuid""",0,[],[],fromList []
"""EmailBulkMoveEmailModel""","""emailIdList""","""""",Array,"""""",1,[],[],fromList []
"""EmailBulkMoveEmailModel""","""connectorIdNow""","""""",String,"""uuid""",0,[],[],fromList []
"""AdminFee_AddModel""","""support_item_id""","""""",String,"""uuid""",0,[],[],fromList []
"""AdminFee_AddModel""","""support_end_date""","""""",String,"""date-time""",0,[],[],fromList []
"""AdminFee_AddModel""","""support_start_date""","""""",String,"""date-time""",0,[],[],fromList []
"""AdminFee_AddModel""","""unit_price""","""""",Number,"""double""",0,[],[],fromList []
"""AdminFee_AddModel""","""client_plan_id""","""""",String,"""uuid""",1,[],[],fromList []
"""AdminFee_AddModel""","""quantity""","""""",Number,"""double""",0,[],[],fromList []
"""AdminFee_AddModel""","""clientId""","""""",String,"""uuid""",0,[],[],fromList []
"""Invoice_UpdateBeforeSubmit_Item""","""support_end_date""","""""",String,"""date-time""",1,[],[],fromList []
"""Invoice_UpdateBeforeSubmit_Item""","""invoice_item_id""","""""",String,"""uuid""",0,[],[],fromList []
"""Invoice_UpdateBeforeSubmit_Item""","""support_start_date""","""""",String,"""date-time""",1,[],[],fromList []
"""VendorABNCheckModel""","""accountNo""","""""",String,"""""",1,[],[],fromList []
"""VendorABNCheckModel""","""vendorName""","""""",String,"""""",1,[],[],fromList []
"""VendorABNCheckModel""","""phone""","""""",String,"""""",1,[],[],fromList []
"""VendorABNCheckModel""","""emailForReminttance""","""""",String,"""""",1,[],[],fromList []
"""VendorABNCheckModel""","""vendorId""","""""",String,"""uuid""",0,[],[],fromList []
"""VendorABNCheckModel""","""bsb""","""""",String,"""""",1,[],[],fromList []
"""VendorABNCheckModel""","""ocrTemplate""","""""",String,"""""",1,[],[],fromList []
"""VendorABNCheckModel""","""authorisedLoginHolderEmail""","""""",String,"""""",1,[],[],fromList []
"""VendorABNCheckModel""","""addressSuburb""","""""",String,"""""",1,[],[],fromList []
"""VendorABNCheckModel""","""abn""","""""",String,"""""",1,[],[],fromList []
"""VendorABNCheckModel""","""accountName""","""""",String,"""""",1,[],[],fromList []
"""VendorABNCheckModel""","""addressNumber""","""""",String,"""""",1,[],[],fromList []
"""VendorABNCheckModel""","""transferReference""","""""",String,"""""",1,[],[],fromList []
"""VendorABNCheckModel""","""dateLastChecked""","""""",String,"""date-time""",1,[],[],fromList []
"""VendorABNCheckModel""","""emailContact""","""""",String,"""""",1,[],[],fromList []
"""VendorABNCheckModel""","""authorisedLoginHolderPosition""","""""",String,"""""",1,[],[],fromList []
"""VendorABNCheckModel""","""authorisedLoginHolderMobileNumber""","""""",String,"""""",1,[],[],fromList []
"""VendorABNCheckModel""","""authorisedLoginHolderName""","""""",String,"""""",1,[],[],fromList []
"""VendorABNCheckModel""","""paymentMethod""","""""",String,"""""",1,[],[],fromList []
"""VendorABNCheckModel""","""addressState""","""""",String,"""""",1,[],[],fromList []
"""VendorABNCheckModel""","""addressPostCode""","""""",String,"""""",1,[],[],fromList []
"""VendorABNCheckModel""","""notes""","""""",String,"""""",1,[],[],fromList []
"""HolidayListModel""","""start_time""","""""",String,"""date-time""",1,[],[],fromList []
"""HolidayListModel""","""date""","""""",String,"""date-time""",1,[],[],fromList []
"""HolidayListModel""","""to_time""","""TimeSpan""",Null,"""""",0,[],[],fromList []
"""HolidayListModel""","""from_time""","""TimeSpan""",Null,"""""",0,[],[],fromList []
"""HolidayListModel""","""id""","""""",String,"""uuid""",1,[],[],fromList []
"""HolidayListModel""","""state_id""","""""",String,"""uuid""",1,[],[],fromList []
"""HolidayListModel""","""description""","""""",String,"""""",1,[],[],fromList []
"""HolidayListModel""","""phone_number""","""""",String,"""""",1,[],[],fromList []
"""HolidayListModel""","""state_name""","""""",String,"""""",1,[],[],fromList []
"""HolidayListModel""","""end_time""","""""",String,"""date-time""",1,[],[],fromList []
"""HolidayListModel""","""holiday_name""","""""",String,"""""",1,[],[],fromList []
"""SupportCoordinatorJoinClient_Update_Model""","""client_id""","""""",String,"""uuid""",0,[],[],fromList []
"""SupportCoordinatorJoinClient_Update_Model""","""otherrelationship""","""""",String,"""""",1,[],[],fromList []
"""SupportCoordinatorJoinClient_Update_Model""","""isInvoiceAuthorisor""","""""",Boolean,"""""",0,[],[],fromList []
"""SupportCoordinatorJoinClient_Update_Model""","""plan_ending_reminder_90_days""","""""",Boolean,"""""",0,[],[],fromList []
"""SupportCoordinatorJoinClient_Update_Model""","""authorised_date""","""""",String,"""date-time""",0,[],[],fromList []
"""SupportCoordinatorJoinClient_Update_Model""","""isLinkParticipant""","""""",Boolean,"""""",0,[],[],fromList []
"""SupportCoordinatorJoinClient_Update_Model""","""standing_authority_ending_reminder_7_day""","""""",Boolean,"""""",0,[],[],fromList []
"""SupportCoordinatorJoinClient_Update_Model""","""plan_ending_reminder_60_days""","""""",Boolean,"""""",0,[],[],fromList []
"""SupportCoordinatorJoinClient_Update_Model""","""invoice_authorisation_request""","""""",Boolean,"""""",0,[],[],fromList []
"""SupportCoordinatorJoinClient_Update_Model""","""plan_ending_reminder_30_days""","""""",Boolean,"""""",0,[],[],fromList []
"""SupportCoordinatorJoinClient_Update_Model""","""standing_authority_applied""","""""",Boolean,"""""",0,[],[],fromList []
"""SupportCoordinatorJoinClient_Update_Model""","""id""","""""",String,"""uuid""",0,[],[],fromList []
"""SupportCoordinatorJoinClient_Update_Model""","""new_standing_authority_created""","""""",Boolean,"""""",0,[],[],fromList []
"""SupportCoordinatorJoinClient_Update_Model""","""relationship_id""","""""",String,"""uuid""",0,[],[],fromList []
"""SupportCoordinatorJoinClient_Update_Model""","""monthly_statement""","""""",Boolean,"""""",0,[],[],fromList []
"""SupportCoordinatorJoinClient_Update_Model""","""support_coordinator_id""","""""",String,"""uuid""",0,[],[],fromList []
"""SupportCoordinatorJoinClient_Update_Model""","""invoice_has_been_processed""","""""",Boolean,"""""",0,[],[],fromList []
"""ClientApplicationContact_Add_Model""","""contact_number""","""""",String,"""""",1,[],[],fromList []
"""ClientApplicationContact_Add_Model""","""other_relationship""","""""",String,"""""",1,[],[],fromList []
"""ClientApplicationContact_Add_Model""","""invoice_authorisor""","""""",Boolean,"""""",0,[],[],fromList []
"""ClientApplicationContact_Add_Model""","""email""","""""",String,"""""",1,[],[],fromList []
"""ClientApplicationContact_Add_Model""","""last_name""","""""",String,"""""",1,[],[],fromList []
"""ClientApplicationContact_Add_Model""","""first_name""","""""",String,"""""",1,[],[],fromList []
"""ClientApplicationContact_Add_Model""","""relationship_id""","""""",String,"""uuid""",0,[],[],fromList []
"""ClientApplicationContact_Add_Model""","""application_id""","""""",String,"""uuid""",0,[],[],fromList []
"""ClientApplicationContact_Add_Model""","""notes""","""""",String,"""""",1,[],[],fromList []
"""ClientApplicationContact_Add_Model""","""title_id""","""""",String,"""uuid""",0,[],[],fromList []
"""UntoVendorDTO""","""vendorId""","""""",String,"""uuid""",0,[],[],fromList []
"""UntoVendorDTO""","""tagIds""","""""",Array,"""""",1,[],[],fromList []
"""AuthenticateUser""","""agent_For_User_Display_Name""","""""",String,"""""",1,[],[],fromList []
"""AuthenticateUser""","""sc_Agent_For_User_Display_Name""","""""",String,"""""",1,[],[],fromList []
"""AuthenticateUser""","""agent_For_User_Username""","""""",String,"""""",1,[],[],fromList []
"""AuthenticateUser""","""email""","""""",String,"""""",1,[],[],fromList []
"""AuthenticateUser""","""sc_Agent_For_User_Role""","""AuthRoleType""",Null,"""""",0,[],[],fromList []
"""AuthenticateUser""","""agent_For_User_Id""","""""",String,"""uuid""",1,[],[],fromList []
"""AuthenticateUser""","""id""","""""",String,"""uuid""",0,[],[],fromList []
"""AuthenticateUser""","""displayName""","""""",String,"""""",1,[],[],fromList []
"""AuthenticateUser""","""userName""","""""",String,"""""",1,[],[],fromList []
"""AuthenticateUser""","""sc_Agent_For_User_Username""","""""",String,"""""",1,[],[],fromList []
"""AuthenticateUser""","""sc_Agent_For_User_Id""","""""",String,"""uuid""",1,[],[],fromList []
"""AuthenticateUser""","""agent_For_User_Role""","""AuthRoleType""",Null,"""""",0,[],[],fromList []
"""AuthenticateUser""","""role""","""AuthRoleType""",Null,"""""",0,[],[],fromList []
"""PaymentBatch_Create_Model""","""invoice_item_ids""","""""",Array,"""""",1,[],[],fromList []
"""ChangeTagToInvoiceDTO""","""invoiceList""","""""",Array,"""""",1,[],[],fromList []
"""CRMNoteHistory_Add_Model""","""note_appendedcontent""","""""",String,"""""",1,[],[],fromList []
"""CRMNoteHistory_Add_Model""","""staff_id""","""""",String,"""uuid""",0,[],[],fromList []
"""CRMNoteHistory_Add_Model""","""note_updatedcontent""","""""",String,"""""",1,[],[],fromList []
"""CRMNoteHistory_Add_Model""","""note_id""","""""",String,"""uuid""",0,[],[],fromList []
"""Invoice_Add_Model""","""invoice_date""","""""",String,"""""",1,[],[],fromList []
"""Invoice_Add_Model""","""client_id""","""""",String,"""uuid""",0,[],[],fromList []
"""Invoice_Add_Model""","""abn_is_active""","""""",Boolean,"""""",1,[],[],fromList []
"""Invoice_Add_Model""","""real_email_address""","""""",String,"""""",1,[],[],fromList []
"""Invoice_Add_Model""","""invoice_total""","""""",Number,"""double""",0,[],[],fromList []
"""Invoice_Add_Model""","""authorisation_Status""","""InvoiceAuthorisationStatusType""",Null,"""""",0,[],[],fromList []
"""Invoice_Add_Model""","""vendor_id""","""""",String,"""uuid""",0,[],[],fromList []
"""Invoice_Add_Model""","""crm_notes""","""""",String,"""""",1,[],[],fromList []
"""Invoice_Add_Model""","""received_From_Email""","""""",String,"""""",1,[],[],fromList []
"""Invoice_Add_Model""","""invoice_number""","""""",String,"""""",1,[],[],fromList []
"""Invoice_Add_Model""","""abn_not_available""","""""",Boolean,"""""",1,[],[],fromList []
"""Invoice_Add_Model""","""vendor_type""","""VendorType""",Null,"""""",0,[],[],fromList []
"""Invoice_Add_Model""","""abn_on_receipt""","""""",String,"""""",1,[],[],fromList []
"""Invoice_Add_Model""","""abn_not_available_reason""","""ABNNotAvailableReasonType""",Null,"""""",0,[],[],fromList []
"""Invoice_Add_Model""","""creation_method""","""OpenMethodType""",Null,"""""",0,[],[],fromList []
"""Invoice_Add_Model""","""invoice_date_converted""","""""",String,"""date-time""",1,[],[],fromList []
"""Invoice_Add_Model""","""notes""","""""",String,"""""",1,[],[],fromList []
"""CRMNote_Update_Model""","""note_content""","""""",String,"""""",1,[],[],fromList []
"""CRMNote_Update_Model""","""status""","""CRMNoteStatus""",Null,"""""",0,[],[],fromList []
"""CRMNote_Update_Model""","""id""","""""",String,"""uuid""",0,[],[],fromList []
"""CRMNote_Update_Model""","""staff_id""","""""",String,"""uuid""",0,[],[],fromList []
"""CRMNote_Update_Model""","""note_title""","""""",String,"""""",1,[],[],fromList []
"""CRMNote_Update_Model""","""isreminder""","""""",Boolean,"""""",0,[],[],fromList []
"""VendorDomainAddModel""","""domain_name""","""""",String,"""""",1,[],[],fromList []
"""VendorDomainAddModel""","""description""","""""",String,"""""",1,[],[],fromList []
"""Client_User_Update_Account_Password_Model""","""client_id""","""""",String,"""uuid""",0,[],[],fromList []
"""Client_User_Update_Account_Password_Model""","""old_password""","""""",String,"""""",1,[],[],fromList []
"""Client_User_Update_Account_Password_Model""","""password""","""""",String,"""""",1,[],[],fromList []
"""ClientPlanSupportLimitation_Update_GroupItem""","""ndis_support_item_id""","""""",String,"""uuid""",0,[],[],fromList []
"""Email_Remove_OneTag""","""logMsg""","""""",String,"""""",1,[],[],fromList []
"""Email_Remove_OneTag""","""is_System""","""""",Boolean,"""""",0,[],[],fromList []
"""Email_Remove_OneTag""","""emailId""","""""",String,"""uuid""",0,[],[],fromList []
"""Email_Remove_OneTag""","""remove_Tag""","""TagUpdateItem""",Null,"""""",0,[],[],fromList []
"""ChangeTagToClientDTO""","""clientList""","""""",Array,"""""",1,[],[],fromList []
"""Update_Auto_Reply_Email_Setting_Model""","""auto_reply_type""","""AutoReplyType""",Null,"""""",0,[],[],fromList []
"""Update_Auto_Reply_Email_Setting_Model""","""email""","""""",String,"""""",1,[],[],fromList []
"""Update_Auto_Reply_Email_Setting_Model""","""id""","""""",String,"""uuid""",0,[],[],fromList []
"""Vendor_InvoiceItem_Add_Model""","""support_end_date""","""""",String,"""date-time""",0,[],[],fromList []
"""Vendor_InvoiceItem_Add_Model""","""support_start_date""","""""",String,"""date-time""",0,[],[],fromList []
"""Vendor_InvoiceItem_Add_Model""","""ndis_support_item_id""","""""",String,"""uuid""",0,[],[],fromList []
"""Vendor_InvoiceItem_Add_Model""","""unit_price""","""""",Number,"""double""",0,[],[],fromList []
"""Vendor_InvoiceItem_Add_Model""","""gst""","""""",Boolean,"""""",0,[],[],fromList []
"""Vendor_InvoiceItem_Add_Model""","""invoice_id""","""""",String,"""uuid""",0,[],[],fromList []
"""Vendor_InvoiceItem_Add_Model""","""quantity""","""""",Number,"""double""",0,[],[],fromList []
"""AddTeam""","""staff_ids""","""""",Array,"""""",1,[],[],fromList []
"""AddTeam""","""teamName""","""""",String,"""""",1,[],[],fromList []
"""ClientPlanSupportArea_Merge_Model""","""budget_type""","""ClientBudgetType""",Null,"""""",0,[],[],fromList []
"""ClientPlanSupportArea_Merge_Model""","""client_plan_id""","""""",String,"""uuid""",0,[],[],fromList []
"""ClientPlanSupportArea_Merge_Model""","""id""","""""",String,"""uuid""",0,[],[],fromList []
"""ClientPlanSupportArea_Merge_Model""","""management_type""","""ClientPlanManagementType""",Null,"""""",0,[],[],fromList []
"""ClientPlanSupportArea_Merge_Model""","""ndis_support_area_id""","""""",String,"""uuid""",0,[],[],fromList []
"""Add_Auto_Reply_Email_Setting_Model""","""auto_reply_type""","""AutoReplyType""",Null,"""""",0,[],[],fromList []
"""Add_Auto_Reply_Email_Setting_Model""","""email""","""""",String,"""""",1,[],[],fromList []
"""Add_Auto_Reply_Email_Setting_Model""","""auto_reply_count""","""""",Integer,"""int32""",0,[],[],fromList []
"""Add_Auto_Reply_Email_Setting_Model""","""id""","""""",String,"""uuid""",0,[],[],fromList []
"""ChangeTagToVendorDTO""","""vendorList""","""""",Array,"""""",1,[],[],fromList []
"""UpdateStaffConnectorsModel""","""selected_Ids""","""""",Array,"""""",1,[],[],fromList []
"""SplitItemFromGroupDto""","""is_system""","""""",Boolean,"""""",0,[],[],fromList []
"""SplitItemFromGroupDto""","""client_plan_id""","""""",String,"""uuid""",0,[],[],fromList []
"""SplitItemFromGroupDto""","""item_id""","""""",String,"""uuid""",0,[],[],fromList []
"""SplitItemFromGroupDto""","""group_id""","""""",String,"""uuid""",0,[],[],fromList []
"""SplitItemFromGroupDto""","""limit_type""","""ClientPlanSupportItemLimitType""",Null,"""""",0,[],[],fromList []
"""NDIS_Fund_Item""","""claim_date""","""""",String,"""date-time""",0,[],[],fromList []
"""NDIS_Fund_Item""","""id""","""""",String,"""uuid""",1,[],[],fromList []
"""NDIS_Fund_Item""","""claim_amount""","""""",Number,"""double""",0,[],[],fromList []
"""ClientPlanSupportLimitation_Update_Item""","""spend_limit""","""""",Number,"""double""",1,[],[],fromList []
"""ClientPlanSupportLimitation_Update_Item""","""is_system""","""""",Boolean,"""""",0,[],[],fromList []
"""ClientPlanSupportLimitation_Update_Item""","""client_plan_id""","""""",String,"""uuid""",0,[],[],fromList []
"""ClientPlanSupportLimitation_Update_Item""","""id""","""""",String,"""uuid""",0,[],[],fromList []
"""ClientPlanSupportLimitation_Update_Item""","""limit_type""","""ClientPlanSupportItemLimitType""",Null,"""""",0,[],[],fromList []
"""TryToUnMatchDTO""","""match_group_id""","""""",String,"""uuid""",0,[],[],fromList []
"""CRMInvoiceNote_Add_Model""","""client_id""","""""",String,"""uuid""",1,[],[],fromList []
"""CRMInvoiceNote_Add_Model""","""todoList""","""""",Array,"""""",1,[],[],fromList []
"""CRMInvoiceNote_Add_Model""","""reminder_staff""","""""",Array,"""""",1,[],[],fromList []
"""CRMInvoiceNote_Add_Model""","""provider_id""","""""",String,"""uuid""",1,[],[],fromList []
"""CRMInvoiceNote_Add_Model""","""content""","""""",String,"""""",1,[],[],fromList []
"""CRMInvoiceNote_Add_Model""","""reminder_date""","""""",String,"""date-time""",1,[],[],fromList []
"""CRMInvoiceNote_Add_Model""","""append""","""""",String,"""""",1,[],[],fromList []
"""CRMInvoiceNote_Add_Model""","""id""","""""",String,"""uuid""",1,[],[],fromList []
"""CRMInvoiceNote_Add_Model""","""invoice_id""","""""",String,"""uuid""",0,[],[],fromList []
"""CRMInvoiceNote_Add_Model""","""is_link_to_client""","""""",Boolean,"""""",0,[],[],fromList []
"""CRMInvoiceNote_Add_Model""","""is_link_to_provider""","""""",Boolean,"""""",0,[],[],fromList []
"""CRMInvoiceNote_Add_Model""","""is_link_to_sc""","""""",Boolean,"""""",0,[],[],fromList []
"""CRMInvoiceNote_Add_Model""","""sc_id""","""""",String,"""uuid""",1,[],[],fromList []
"""CRMInvoiceNote_Add_Model""","""isreminder""","""""",Boolean,"""""",0,[],[],fromList []
"""CRMInvoiceNote_Add_Model""","""note_id""","""""",String,"""uuid""",1,[],[],fromList []
"""CRMInvoiceNote_Add_Model""","""subject""","""""",String,"""""",1,[],[],fromList []
"""Invoice_Quick_Upload_Notes_Model""","""id""","""""",String,"""uuid""",0,[],[],fromList []
"""Invoice_Quick_Upload_Notes_Model""","""notes""","""""",String,"""""",1,[],[],fromList []
"""Cancel_Claim_Model""","""prn""","""""",String,"""""",1,[],[],fromList []
"""CRMNote_Todo_Model""","""title""","""""",String,"""""",1,[],[],fromList []
"""CRMNote_Todo_Model""","""status""","""CRMNoteTodoItemStatus""",Null,"""""",0,[],[],fromList []
